present,p5,ccode,scode,country,polity,persist,bmonth,bday,byear,emonth,eday,eyear,democ,autoc,xrreg,xrcomp,xropen,xconst,parreg,parcomp,exrec,exconst,polcomp
,1,160,ARG,Argentina,5,6,5,1,1958,11,15,1963,6,1,3,3,4,5,3,3,8,5,6
,1,160,ARG,Argentina,6,3,11,16,1963,6,28,1966,6,0,3,3,4,5,2,3,8,5,7
,1,160,ARG,Argentina,-9,7,6,29,1966,3,11,1973,0,9,2,1,4,1,4,1,3,1,1
,1,160,ARG,Argentina,6,3,3,12,1973,3,24,1976,6,0,3,3,4,5,2,3,8,5,7
,1,160,ARG,Argentina,-9,5,3,25,1976,3,29,1981,0,9,2,1,4,1,4,1,3,1,1
,1,160,ARG,Argentina,-8,3,3,30,1981,10,30,1983,0,8,2,1,4,1,4,2,3,1,2
,1,160,ARG,Argentina,8,5,10,31,1983,5,14,1989,8,0,3,3,4,7,2,3,8,7,7
,1,160,ARG,Argentina,7,1,5,15,1989,12,31,1989,7,0,3,3,4,6,2,3,8,6,7
,1,160,ARG,Argentina,7,10,1,1,1990,12,9,1999,7,0,3,3,4,6,2,3,8,6,7
,1,160,ARG,Argentina,8,12,12,10,1999,12,9,2015,8,0,3,3,4,6,2,4,8,6,9
1,1,160,ARG,Argentina,9,3,12,10,2015,99,99,9999,9,0,3,3,4,7,2,4,8,7,9
,1,371,ARM,Armenia,6,4,9,23,1991,7,5,1995,6,0,2,2,4,5,2,4,7,5,9
,1,371,ARM,Armenia,1,1,7,6,1995,9,27,1996,3,2,2,2,4,3,3,3,7,3,6
,1,371,ARM,Armenia,-6,1,9,28,1996,2,3,1998,0,6,2,1,4,3,4,2,3,3,2
,1,371,ARM,Armenia,5,5,2,4,1998,2,19,2003,6,1,2,2,4,5,3,4,7,5,8
,1,371,ARM,Armenia,5,15,2,20,2003,4,23,2018,5,0,2,2,4,5,2,3,7,5,7
,1,371,ARM,Armenia,5,1,4,24,2018,12,8,2018,5,0,2,0,0,7,2,3,5,7,7
1,1,371,ARM,Armenia,7,0,12,9,2018,99,99,9999,7,0,2,2,4,6,2,4,7,6,9
1,0,900,AUL,Australia,10,118,1,1,1901,99,99,9999,10,0,3,3,4,7,5,5,8,7,10
,0,305,AUS,Austria,-10,,1,1,1800,12,27,1805,0,10,3,1,1,1,4,1,1,1,1
,0,305,AUS,Austria,-66,1,12,28,1805,8,6,1806,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
,0,305,AUS,Austria,-10,3,8,7,1806,5,13,1809,0,10,3,1,1,1,4,1,1,1,1
,0,305,AUS,Austria,-66,0,5,14,1809,10,14,1809,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
,0,305,AUS,Austria,-10,38,10,15,1809,3,3,1848,0,10,3,1,1,1,4,1,1,1,1
,0,305,AUS,Austria,-6,13,3,4,1848,2,15,1861,1,7,3,1,1,1,3,3,1,1,6
,0,305,AUS,Austria,-4,7,2,16,1861,10,15,1867,1,5,3,1,1,3,3,3,1,3,6
,0,305,AUS,Austria,-4,51,10,16,1867,11,14,1918,1,5,3,1,2,3,3,3,2,3,6
,0,305,AUS,Austria,-88,2,11,15,1918,10,1,1920,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,0,305,AUS,Austria,8,12,10,2,1920,3,4,1933,8,0,3,3,4,7,2,3,8,7,7
